@RELATION knnDTMF
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {tecla_0,tecla_1,tecla_2,tecla_3,tecla_4,tecla_5,tecla_6,tecla_7,tecla_8,tecla_9}

@DATA
0.177722,0.157993,3.295930,0.272476,0.206842,0.282518,0.035998,0.111667,-31.912556,0.008586,-1.521536,0.980456,0.116921,-0.480065,0.124007,0.062928,-0.026751,0.144874,-0.150733,0.043061,0.217090,0.000235,0.000123,0.000720,0.000274,0.000185,0.000212,0.000674,0.006223,0.000258,0.000240,0.049460,0.000179,0.015242,0.026628,0.111730,0.004190,0.118474,0.077435,0.339240,0.050685,0.078960,10.898757,0.063718,1.057463,0.656762,0.043095,0.270071,0.128430,0.080087,0.086821,0.029964,0.253195,0.075212,0.155712,0.000159,0.000111,0.000161,0.000102,0.000074,0.000059,0.000083,0.004123,0.000206,0.000170,0.069721,0.000050,0.018078,tecla_0
0.114186,0.157865,3.293792,0.222667,0.202900,0.215464,0.028869,0.040532,-32.141821,0.164514,-1.513439,1.024848,0.111085,-0.379595,0.117675,0.133690,-0.024559,0.083411,-0.245637,0.060510,0.202727,0.000292,0.000083,0.000620,0.000318,0.041115,0.000337,0.000655,0.006499,0.000190,0.000247,0.000221,0.000280,0.013025,0.076466,0.111641,0.005956,0.174763,0.070665,0.295931,0.040612,0.028661,11.275192,0.106845,1.134031,0.634360,0.035986,0.384906,0.136613,0.037009,0.088430,0.074676,0.132890,0.057515,0.188186,0.000219,0.000077,0.000243,0.000094,0.057948,0.000229,0.000116,0.004373,0.000098,0.000169,0.000078,0.000173,0.014758,tecla_0
0.204678,0.158187,3.295574,0.341866,0.208621,0.922196,0.056002,0.223333,-31.798138,-0.270217,-1.440381,0.953592,0.147594,-0.396835,0.193405,0.153707,-0.023354,0.045526,-0.266171,0.025833,0.197530,0.000291,0.000100,0.064290,0.000319,0.000127,0.000206,0.000598,0.006172,0.000127,0.000125,0.000226,0.000289,0.019261,0.144733,0.111867,0.004597,0.024921,0.086710,0.165072,0.078993,0.157921,10.642242,0.064489,1.060948,0.609874,0.075315,0.449186,0.040505,0.050827,0.079825,0.083497,0.081804,0.082065,0.182518,0.000252,0.000091,0.089908,0.000080,0.000009,0.000052,0.000134,0.004276,0.000036,0.000024,0.000123,0.000218,0.023732,tecla_0
0.161809,0.210524,3.296430,0.237994,0.169188,0.075030,0.015051,0.143571,-28.443179,-0.762029,-1.966064,1.349665,-0.106279,-0.628856,0.204072,0.073579,-0.041231,0.074388,-0.347077,0.192075,0.287395,0.001085,0.000588,0.000943,0.000293,0.000470,0.000551,0.001649,0.007206,0.000484,0.000607,0.003396,0.000572,0.002633,0.008918,0.086148,0.041171,0.106881,0.058175,0.109897,0.034534,0.058613,7.781282,1.054576,0.776948,0.645044,0.188476,0.307746,0.119132,0.105654,0.086354,0.086870,0.149897,0.174050,0.128617,0.002459,0.000824,0.001533,0.000395,0.000953,0.001065,0.002936,0.001838,0.000381,0.001267,0.008120,0.001235,0.001312,tecla_0
0.082836,0.210524,3.305896,0.163317,0.182366,0.081986,0.012908,0.052113,-28.607342,-0.801068,-1.932348,1.433524,-0.070171,-0.643985,0.191448,0.106208,0.005392,0.058833,-0.326134,0.240517,0.289674,0.000139,0.000352,0.000482,0.000280,0.012741,0.000173,0.000515,0.006359,0.000377,0.000235,0.000202,0.000140,0.005161,0.057317,0.086150,0.013635,0.130874,0.051373,0.181362,0.028359,0.021275,8.058365,0.932925,0.815819,0.622882,0.140539,0.268542,0.125657,0.118498,0.089609,0.076271,0.191351,0.128797,0.140600,0.000147,0.000201,0.000403,0.000349,0.031008,0.000153,0.000265,0.002572,0.000203,0.000361,0.000308,0.000184,0.007815,tecla_0
0.081352,0.119939,3.313590,0.259616,0.186699,0.301704,0.090215,0.083750,-37.405376,-0.208144,-2.173094,1.365223,0.464453,-0.044274,0.337400,-0.122426,-0.208283,0.089268,-0.116067,0.125107,0.052866,0.000064,0.000054,0.000440,0.000237,0.000190,0.000190,0.000509,0.004693,0.000099,0.000093,0.081243,0.000111,0.023679,0.081352,0.119939,0.000572,0.110689,0.140168,0.278563,0.090215,0.083750,9.977836,0.221801,2.271145,1.417370,0.531744,0.001652,0.322798,0.191019,0.193294,0.048986,0.214505,0.057782,0.048835,0.000015,0.000040,0.000258,0.000140,0.000051,0.000119,0.000284,0.004640,0.000014,0.000008,0.081111,0.000016,0.021164,tecla_0
0.030399,0.119285,3.312583,0.248716,0.168819,0.371903,0.064011,0.030399,-37.842679,-0.279980,-2.228481,1.405336,0.568359,0.052797,0.350275,-0.137098,-0.257579,0.048028,-0.106987,0.120197,0.005844,0.000094,0.000098,0.000442,0.000316,0.076799,0.000278,0.000534,0.004681,0.000090,0.000083,0.000137,0.000111,0.022422,0.030399,0.119285,0.002194,0.193926,0.140934,0.371760,0.064011,0.030399,10.302566,0.294462,2.250176,1.459864,0.538259,0.000304,0.335119,0.193801,0.175060,0.055571,0.248865,0.030063,0.060636,0.000011,0.000084,0.000276,0.000072,0.076552,0.000037,0.000265,0.004604,0.000020,0.000022,0.000001,0.000019,0.019921,tecla_0
0.152882,0.120008,3.315685,0.280742,0.196946,0.648271,0.174840,0.167500,-37.063061,-0.264186,-2.253819,1.365575,0.451297,-0.067181,0.381815,-0.179952,-0.270303,0.061809,-0.098664,0.116280,0.102541,0.000060,0.000018,0.099655,0.000234,0.000152,0.000170,0.000421,0.004628,0.000070,0.000083,0.000086,0.000065,0.028687,0.152882,0.120008,0.001923,0.013949,0.125680,0.372506,0.174840,0.167500,9.817583,0.001550,2.120316,1.264343,0.402288,0.105615,0.297244,0.079176,0.063401,0.100655,0.221118,0.077317,0.018415,0.000011,0.000000,0.098977,0.000131,0.000082,0.000132,0.000357,0.004599,0.000049,0.000012,0.000038,0.000054,0.026199,tecla_0
0.293591,0.210823,3.279901,0.352479,0.156888,0.933692,0.016335,0.287143,-28.225144,-0.665041,-1.859427,1.410603,-0.048705,-0.623379,0.235317,0.118492,-0.009234,0.070547,-0.330489,0.226280,0.303568,0.000691,0.001043,0.003321,0.000610,0.001091,0.001071,0.002452,0.007028,0.000794,0.000756,0.000596,0.000682,0.002509,0.032607,0.086266,0.080358,0.062266,0.059424,0.230156,0.037904,0.117226,7.519039,0.800241,0.745775,0.694745,0.179932,0.220761,0.081421,0.096678,0.107275,0.063569,0.150484,0.145098,0.121446,0.001501,0.001886,0.007328,0.001160,0.002476,0.002342,0.004923,0.001845,0.001143,0.001639,0.001277,0.001513,0.001153,tecla_0
0.256883,0.105427,3.182903,0.428806,0.224454,0.639320,0.016074,0.143571,-37.506127,-0.491714,-0.971006,0.691839,0.033764,-0.336839,0.083603,0.058354,0.006686,0.014180,-0.167748,0.123207,0.154607,0.003998,0.003673,0.007692,0.003627,0.004345,0.003446,0.006255,0.004819,0.002572,0.003646,0.004223,0.003480,0.002688,0.033552,0.043138,0.055423,0.033792,0.030485,0.129726,0.022946,0.058613,3.755719,0.446067,0.423844,0.390046,0.122783,0.196165,0.103412,0.094319,0.103322,0.084720,0.136087,0.111442,0.122645,0.002253,0.003426,0.004853,0.002317,0.003014,0.002476,0.003471,0.001644,0.001365,0.002365,0.001612,0.002951,0.000778,tecla_0
